module_name,freq,pdf
collections,77,0.11015736766809728
os,71,0.10157367668097282
re,67,0.09585121602288985
datetime,65,0.09298998569384835
urllib,41,0.058655221745350504
pandas,21,0.030042918454935622
pathlib,21,0.030042918454935622
itertools,19,0.027181688125894134
pytest,18,0.02575107296137339
dateutil,16,0.022889842632331903
functools,16,0.022889842632331903
requests,16,0.022889842632331903
time,15,0.02145922746781116
json,14,0.020028612303290415
math,13,0.01859799713876967
guess,13,0.01859799713876967
csv,13,0.01859799713876967
operator,11,0.015736766809728183
heapq,10,0.01430615164520744
random,9,0.012875536480686695
dataclasses,8,0.011444921316165951
flask,8,0.011444921316165951
ips,8,0.011444921316165951
statistics,7,0.010014306151645207
typing,7,0.010014306151645207
bs4,6,0.008583690987124463
sys,6,0.008583690987124463
numbers_to_dec,5,0.00715307582260372
numpy,5,0.00715307582260372
zodiac,5,0.00715307582260372
fibonacci,4,0.005722460658082976
xml,4,0.005722460658082976
asyncio,4,0.005722460658082976
unittest,4,0.005722460658082976
textwrap,4,0.005722460658082976
pickle,3,0.004291845493562232
pytz,3,0.004291845493562232
unicodedata,3,0.004291845493562232
ipaddress,3,0.004291845493562232
difflib,3,0.004291845493562232
io,3,0.004291845493562232
argparse,3,0.004291845493562232
cryptography,3,0.004291845493562232
base64,3,0.004291845493562232
feedparser,3,0.004291845493562232
decimal,3,0.004291845493562232
logging,2,0.002861230329041488
contextlib,2,0.002861230329041488
copy,2,0.002861230329041488
sqlite3,2,0.002861230329041488
calendar,2,0.002861230329041488
account,2,0.002861230329041488
enum,2,0.002861230329041488
distutils,2,0.002861230329041488
hashlib,2,0.002861230329041488
inspect,2,0.002861230329041488
zipfile,2,0.002861230329041488
configparser,1,0.001430615164520744
bisect,1,0.001430615164520744
workouts,1,0.001430615164520744
color,1,0.001430615164520744
secrets,1,0.001430615164520744
tf_idf,1,0.001430615164520744
shlex,1,0.001430615164520744
fizzbuzz,1,0.001430615164520744
gender_guesser,1,0.001430615164520744
glob,1,0.001430615164520744
importlib,1,0.001430615164520744
movies,1,0.001430615164520744
Bio,1,0.001430615164520744
